Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Mean,CV Std
Logistic Regression,0.9707602339181286,0.9836065573770492,0.9375,0.96,0.997517523364486,0.9722784810126581,0.021756737625623905
Random Forest,0.9649122807017544,1.0,0.90625,0.9508196721311475,0.9967873831775702,0.952120253164557,0.03532609550394608
Gradient Boosting,0.9649122807017544,1.0,0.90625,0.9508196721311475,0.9970794392523364,0.957120253164557,0.039708065829354496
K-Nearest Neighbors,0.9649122807017544,1.0,0.90625,0.9508196721311475,0.9881717289719626,0.9697468354430381,0.029572848304379513
Support Vector Machine,0.9590643274853801,1.0,0.890625,0.9421487603305785,0.9972254672897196,0.9696835443037977,0.028457198201271187
Naive Bayes,0.935672514619883,0.9491525423728814,0.875,0.9105691056910569,0.9932827102803738,0.9295569620253165,0.020733862302673378
Decision Tree,0.9005847953216374,0.8852459016393442,0.84375,0.864,0.8891647196261683,0.9168354430379747,0.043050607788468885
